Symulacja wszystkich kombinacji głębokości (1–9)

X(depth=1) vs O(depth=1) → {'X': 8, 'O': 1, 'Draw': 1}
X(depth=4) vs O(depth=9) → {'X': 0, 'O': 1, 'Draw': 9}
X(depth=5) vs O(depth=1) → {'X': 10, 'O': 0, 'Draw': 0}
X(depth=5) vs O(depth=2) → {'X': 7, 'O': 1, 'Draw': 2}
X(depth=5) vs O(depth=3) → {'X': 9, 'O': 0, 'Draw': 1}
X(depth=5) vs O(depth=4) → {'X': 7, 'O': 1, 'Draw': 2}
X(depth=5) vs O(depth=5) → {'X': 7, 'O': 1, 'Draw': 2}
X(depth=5) vs O(depth=6) → {'X': 0, 'O': 1, 'Draw': 9}
X(depth=5) vs O(depth=7) → {'X': 0, 'O': 2, 'Draw': 8}
X(depth=5) vs O(depth=8) → {'X': 0, 'O': 3, 'Draw': 7}
X(depth=5) vs O(depth=9) → {'X': 0, 'O': 1, 'Draw': 9}
X(depth=6) vs O(depth=1) → {'X': 10, 'O': 0, 'Draw': 0}
X(depth=6) vs O(depth=2) → {'X': 9, 'O': 0, 'Draw': 1}
X(depth=6) vs O(depth=3) → {'X': 9, 'O': 0, 'Draw': 1}
X(depth=6) vs O(depth=4) → {'X': 7, 'O': 0, 'Draw': 3}
X(depth=6) vs O(depth=5) → {'X': 4, 'O': 0, 'Draw': 6}
X(depth=6) vs O(depth=6) → {'X': 0, 'O': 0, 'Draw': 10}
X(depth=6) vs O(depth=7) → {'X': 0, 'O': 0, 'Draw': 10}
X(depth=6) vs O(depth=8) → {'X': 0, 'O': 0, 'Draw': 10}
X(depth=6) vs O(depth=9) → {'X': 0, 'O': 0, 'Draw': 10}
X(depth=7) vs O(depth=1) → {'X': 10, 'O': 0, 'Draw': 0}
X(depth=7) vs O(depth=2) → {'X': 5, 'O': 0, 'Draw': 5}
X(depth=7) vs O(depth=3) → {'X': 9, 'O': 0, 'Draw': 1}
X(depth=7) vs O(depth=4) → {'X': 6, 'O': 0, 'Draw': 4}
X(depth=7) vs O(depth=5) → {'X': 6, 'O': 0, 'Draw': 4}
X(depth=7) vs O(depth=6) → {'X': 0, 'O': 0, 'Draw': 10}
X(depth=7) vs O(depth=7) → {'X': 0, 'O': 0, 'Draw': 10}
X(depth=7) vs O(depth=8) → {'X': 0, 'O': 0, 'Draw': 10}
X(depth=7) vs O(depth=9) → {'X': 0, 'O': 0, 'Draw': 10}
X(depth=8) vs O(depth=1) → {'X': 10, 'O': 0, 'Draw': 0}
X(depth=8) vs O(depth=2) → {'X': 8, 'O': 0, 'Draw': 2}
X(depth=8) vs O(depth=3) → {'X': 7, 'O': 0, 'Draw': 3}
X(depth=8) vs O(depth=4) → {'X': 9, 'O': 0, 'Draw': 1}
X(depth=8) vs O(depth=5) → {'X': 8, 'O': 0, 'Draw': 2}
X(depth=8) vs O(depth=6) → {'X': 0, 'O': 0, 'Draw': 10}
X(depth=8) vs O(depth=7) → {'X': 0, 'O': 0, 'Draw': 10}
X(depth=8) vs O(depth=8) → {'X': 0, 'O': 0, 'Draw': 10}
X(depth=8) vs O(depth=9) → {'X': 0, 'O': 0, 'Draw': 10}
X(depth=9) vs O(depth=1) → {'X': 10, 'O': 0, 'Draw': 0}
X(depth=9) vs O(depth=2) → {'X': 9, 'O': 0, 'Draw': 1}
X(depth=9) vs O(depth=3) → {'X': 6, 'O': 0, 'Draw': 4}
X(depth=9) vs O(depth=4) → {'X': 8, 'O': 0, 'Draw': 2}
X(depth=9) vs O(depth=5) → {'X': 9, 'O': 0, 'Draw': 1}
X(depth=9) vs O(depth=6) → {'X': 0, 'O': 0, 'Draw': 10}
X(depth=9) vs O(depth=7) → {'X': 0, 'O': 0, 'Draw': 10}
X(depth=9) vs O(depth=8) → {'X': 0, 'O': 0, 'Draw': 10}
X(depth=9) vs O(depth=9) → {'X': 0, 'O': 0, 'Draw': 10}
